Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22098535,Angaaray,Snehal Shingavi,"Shingavi, Snehal",,,,0,3.67,Penguin,Kindle Edition,208,2014,1932,,08/10/2016,to-read,to-read (#1070),to-read,,,,,,,0,,,,,
15743828,What Young India Wants,Chetan Bhagat,"Bhagat, Chetan",,8129120216,9788129120212,0,3.29,Rupa Publications ,Paperback,181,2012,2012,,29/09/2016,to-read,to-read (#1069),to-read,,,,,,,0,,,,,
22874559,Half Girlfriend,Chetan Bhagat,"Bhagat, Chetan",,8129135728,9788129135728,0,3.11,Rupa Publications India,Paperback,260,2014,2014,,29/09/2016,to-read,to-read (#1068),to-read,,,,,,,0,,,,,
105578,One Night at the Call Center,Chetan Bhagat,"Bhagat, Chetan",,0345498321,9780345498328,0,2.46,Ballantine Books,Paperback,320,2007,2005,,29/09/2016,to-read,to-read (#1067),to-read,,,,,,,0,,,,,
12615008,"Revolution 2020: Love, Corruption, Ambition",Chetan Bhagat,"Bhagat, Chetan",,8129118807,9788129118806,0,3.07,Rupa Publications,Paperback,296,2011,2011,,29/09/2016,to-read,to-read (#1066),to-read,,,,,,,0,,,,,
13528420,"We Are Anonymous: Inside the Hacker World of LulzSec, Anonymous, and the Global Cyber Insurgency",Parmy Olson,"Olson, Parmy",,0316213543,9780316213547,0,3.93,"Little, Brown and Company",Hardcover,512,2012,2012,,23/09/2016,to-read,to-read (#1065),to-read,,,,,,,0,,,,,
6260997,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,"Kristof, Nicholas D.",Sheryl WuDunn,0307267148,9780307267146,0,4.32,Knopf,Hardcover,294,2009,2008,,22/09/2016,to-read,to-read (#1064),to-read,,,,,,,0,,,,,
20620665,"Lawrence in Arabia: War, Deceit, Imperial Folly and the Making of the Modern Middle East",Scott Anderson,"Anderson, Scott",,,,0,4.11,Atlantic Books,Kindle Edition,592,2014,2013,,22/09/2016,to-read,to-read (#1063),to-read,,,,,,,0,,,,,
108628,Passionate Nomad: The Life of Freya Stark,Jane Fletcher Geniesse,"Geniesse, Jane Fletcher",,0375757465,9780375757464,0,3.98,Modern Library,Paperback,448,2001,1999,,22/09/2016,to-read,to-read (#1062),to-read,,,,,,,0,,,,,
16172,"Desert Queen: The Extraordinary Life of Gertrude Bell: Adventurer, Adviser to Kings, Ally of Lawrence of Arabia",Janet Wallach,"Wallach, Janet",,1400096197,9781400096190,0,3.89,Anchor,Paperback,464,2005,1996,,22/09/2016,to-read,to-read (#1061),to-read,,,,,,,0,,,,,
164972,"Gertrude Bell: Queen of the Desert, Shaper of Nations",Georgina Howell,"Howell, Georgina",,0374161623,9780374161620,0,3.93,"Farrar, Straus and Giroux",Hardcover,481,2007,1988,,22/09/2016,to-read,to-read (#1060),to-read,,,,,,,0,,,,,
31448865,Perilous Interventions: The Security Council and the Politics of Chaos,Hardeep Singh Puri,"Puri, Hardeep Singh",,9351777596,9789351777595,0,5,HarperCollins,Hardcover,280,2016,,,10/09/2016,"to-read, to-buy","to-read (#1059), to-buy (#10)",to-read,,,,,,,0,,,,,
25938426,Children of Earth and Sky,Guy Gavriel Kay,"Kay, Guy Gavriel",,067006839X,9780670068395,0,4.21,Viking,Hardcover,571,2016,2016,,09/09/2016,to-read,to-read (#1058),to-read,,,,,,,0,,,,,
28098889,India Conquered: Britain's Raj and the Passions of Empire,Jon Wilson,"Wilson, Jon",,1471101258,9781471101250,0,4,Simon & Schuster ,Hardcover,432,2016,2016,,09/09/2016,to-read,to-read (#1057),to-read,,,,,,,0,,,,,
10116415,The Case for Sanctions Against Israel,Audrea Lim,"Lim, Audrea",Nada Elia,1844674509,9781844674503,0,3.78,Verso,Paperback,244,2012,2011,,09/09/2016,to-read,to-read (#1056),to-read,,,,,,,0,,,,,
290882,The Upanishads,Anonymous,"Anonymous, Anonymous",Juan Mascaró,0140441638,9780140441635,0,4.19,Penguin Classics,Paperback,144,2005,-500,,09/09/2016,to-read,to-read (#1055),to-read,,,,,,,0,,,,,
15756654,Spies Against Armageddon,Dan Raviv,"Raviv, Dan",Yossi Melman,,,0,4.09,Levant Books,Kindle Edition,455,2012,2012,,09/09/2016,to-read,to-read (#1054),to-read,,,,,,,0,,,,,
24209328,Creating a New Medina,Venkat Dhulipala,"Dhulipala, Venkat",,1316258408,9781316258408,0,3.8,Cambridge University Press,ebook,544,2014,2014,,05/09/2016,to-read,to-read (#1053),to-read,,,,,,,0,,,,,
25238350,"The Hunt for Vulcan: . . . And How Albert Einstein Destroyed a Planet, Discovered Relativity, and Deciphered the Universe",Thomas Levenson,"Levenson, Thomas",,0812998987,9780812998986,0,3.98,Random House,Hardcover,229,2015,2015,,28/08/2016,to-read,to-read (#1052),to-read,,,,,,,0,,,,,
103867,"Descartes' Error: Emotion, Reason and the Human Brain",António R. Damásio,"Damásio, António R.",,014303622X,9780143036227,0,3.96,Penguin Books,Paperback,336,2005,1994,,26/08/2016,to-read,to-read (#1051),to-read,,,,,,,0,,,,,
17620385,"A Suitable Girl (A Suitable Boy, #2)",Vikram Seth,"Seth, Vikram",,,,0,4.46,Orion,,,2017,2017,,25/08/2016,to-read,to-read (#1050),to-read,,,,,,,0,,,,,
